,CARD_ACCOUNT_ID,USER_ID,CREATION_TIMESTAMP,CARD_TYPE,FRIENDLY_NAME,IS_ACTIVE
0,21,2,1633332448,VIRTUAL,MY_CARD_1,1
1,22,2,1633332519,PHYSICAL,MY_CARD_2,0
2,23,4,1633523962,PHYSICAL,MY_CARD_1,0
3,24,3,1633544263,VIRTUAL,MY_CARD_8,0
4,25,3,1633544439,VIRTUAL,MY_CARD_9,1
5,26,1,1633639243,VIRTUAL,MY_CARD_14,1
6,27,3,1633858851,VIRTUAL,MY_CARD_12,0
7,28,7,1633976816,VIRTUAL,MY_CARD_5,1
8,29,3,1634140137,VIRTUAL,MY_CARD_9,1
9,30,3,1634140327,PHYSICAL,MY_CARD_2,0
10,31,6,1634194919,VIRTUAL,MY_CARD_1,0
11,32,1,1634214398,PHYSICAL,MY_CARD_2,0
12,33,10,1634223808,VIRTUAL,MY_CARD_3,1
